Rafaela Carroll#79289.71#0.89#1
Allen Cole#14436.18#0.21#8
Pura O'Hara#13483.27#0.1#4
Kimbra Runte#8544.82#0.52#3
Clora Schuppe#68035.94#0.96#9
Antwan Kuhic#67215.67#0.43#10
Lavera Flatley#53335.87#0.86#6
Zoraida Hauck#13060.41#0.41#7
Meggan Bruen#29459.44#0.15#4
Rueben Waelchi#76704.43#0.26#1
Eloise Kris#89926.76#0.1#4
Jennell Daniel#97625.25#0.1#8
Dennis Grant#77088.68#0.27#4
Aida Olson#26177.71#0.2#4
Isaac Parisian#90517.85#0.21#8
Evangelina Bins#12397.37#0.2#5
Jarrod Sawayn#45615.19#0.48#3
Dorathy Cartwright#25394.53#0.1#6
Gerardo Green#93819.44#0.33#3
Osvaldo Nicolas#17205.06#0.94#3
Juliet Beer#72869.39#0.34#2
Maximo Schaefer#35392.92#0.25#4
Jerry Jast#59967.24#0.66#9
Jocelyn Greenholt#40692.02#0.1#3
Marlyn Bosco#75934.38#0.47#3
Manual Hammes#5000.0#0.28#1
Ferdinand Luettgen#5000.0#0.83#5
Del Schuppe#56008.7#0.1#6
Keenan Daugherty#53753.46#0.7#7
Irwin Lynch#44441.32#0.4#4
Alethea Auer#31399.49#0.5#8
Reginald Cummings#38686.58#0.57#3
Zina Orn#61847.13#0.98#2
Jean Padberg#59117.52#0.59#8
Cedric Nikolaus#95933.88#0.47#1
Junie Johns#71001.38#0.1#5
Chang Brakus#67363.91#0.58#1
Denise Koch#12079.53#0.11#7
Raelene Mayert#68604.81#0.2#3
Hershel Windler#5000.0#0.24#9
Tracey Purdy#34405.55#0.14#1
Reed Tremblay#5000.0#0.92#10
Bettina Schinner#28145.98#0.68#8
Hal Herzog#63371.59#0.32#9
Vern Nolan#96817.31#0.1#10
Haley Windler#97660.49#0.77#3
Jackie Kirlin#61662.98#0.2#6
Valarie Schumm#43754.64#0.23#1
Charleen Morissette#73905.3#0.95#2
Forrest Ondricka#4721.43#0.39#2
Monroe Morissette#62973.34#0.79#10
Sheilah Cartwright#13414.74#0.63#4
Junko Reilly#63387.09#0.74#2
Lynna Johnston#83702.48#0.1#1
Dora Rowe#70208.16#0.1#5
Essie Hodkiewicz#83453.54#0.1#7
Chet Satterfield#83911.72#0.81#2
Whitley Skiles#56559.67#0.26#6
Samual Oberbrunner#82386.83#0.33#3
Francina Kohler#51921.38#0.68#6
Charles Yost#29376.33#0.99#1
Suzanne Pollich#90926.54#0.65#9
Greta Frami#68201.05#0.73#9
Arturo Predovic#64982.5#0.1#1
Elbert Tillman#70758.43#0.79#2
Aretha Kertzmann#53028.2#0.29#5
Rayna McCullough#28824.17#0.27#7
Many Reichert#11395.67#0.63#2
Johnson DuBuque#94074.29#0.88#5
Fatima Runolfsson#5000.0#0.59#5
Austin Koch#74903.78#0.47#6
Newton Bashirian#85170.51#0.83#6
Jeromy Jast#80230.07#0.95#1
Orlando Sanford#8073.05#0.72#8
Xavier Mayer#5000.0#0.38#8
Robt Pfannerstill#56777.53#0.29#9
Nolan Halvorson#12877.72#0.43#5
Shane Padberg#72533.65#0.11#6
Salome Kuhic#4116.2#0.95#8
Weldon Cormier#59483.06#0.97#4
Wilson Kreiger#81911.08#0.9#2
Tyler Kerluke#17813.76#0.7#1
Kayce Barrows#93948.58#0.57#2
Steffanie Auer#42314.68#0.18#2
Shirleen Leffler#34990.28#0.1#2
Haley Lang#18751.09#0.22#10
Isabelle Waelchi#64220.62#0.69#1
Donny Roberts#53217.48#0.36#2
Pearly Schumm#8576.32#0.26#10
Santiago Spinka#88326.46#0.66#4
Alfredia Yost#3126.14#0.37#6
Neta Ledner#78828.28#0.62#4
Cornell Stoltenberg#48570.23#0.22#3
Tod Bailey#20893.41#0.16#8
Herbert Gottlieb#95195.22#0.72#10
Isaiah Spinka#84976.97#0.1#8
Kerry Rowe#53019.41#0.83#3
Jerrod Jerde#21808.6#0.52#2
Hsiu Torp#51104.96#0.55#7
Houston Durgan#23838.65#0.98#1
Suzi Smith#43778.64#0.78#9
Larisa Schumm#61969.1#0.13#9
Galen Lubowitz#35494.76#0.1#10
Britteny Stracke#19235.49#0.5#7
Ulysses Heidenreich#97858.8#0.58#10
Louanne Kunze#19075.3#0.17#6
Darryl Kilback#77405.51#0.29#4
Jody Torphy#25865.04#0.72#8
Michale Stamm#53887.53#0.78#4
Elmo Emmerich#5000.0#0.68#7
Dorotha Schultz#71560.46#0.44#2
Madge King#16465.67#0.1#4
Everette Grant#5131.28#0.1#8
Shawnta Metz#83778.58#0.84#10
Darrel Ritchie#76967.85#0.89#6
Marnie Carter#63686.43#0.14#1
Cortez Larkin#12439.15#0.64#9
Carole Cummings#64115.84#0.93#3
Doris O'Keefe#35708.93#0.1#3
Racheal Legros#5000.0#0.38#8
Janise Doyle#21877.19#0.83#5
Concha Jaskolski#6806.89#0.28#4
Vergie Lebsack#14299.96#0.93#3
Eugenio Wolff#21447.44#0.41#8
Cinda McCullough#70404.91#0.1#4
Cristal Schaefer#55001.38#0.71#3
Korey Wilderman#84263.96#0.24#3
Franklyn Kuphal#44404.58#0.7#3
Cecil Zemlak#65441.13#0.55#10
Sebastian Huel#68014.29#0.8#4
Dan Auer#30663.17#0.1#4
Cyrstal Graham#31216.69#0.13#8
Deon Mayer#51374.12#0.69#1
Michael Pacocha#41935.99#0.33#2
Jamaal Hamill#7032.45#0.84#1
Doug Willms#19232.55#0.15#3
Richie Terry#37856.3#0.9#10
Shanta McCullough#16744.53#0.17#2
Weston Goodwin#43687.32#0.79#3
Glynis Lueilwitz#95952.21#0.83#3
Rowena Mertz#85010.26#0.99#7
Efren Roob#78522.97#0.31#9
Majorie Greenholt#91589.7#0.93#9
Cherish Kling#25079.76#0.18#8
Jeraldine McClure#82450.5#0.88#9
Louise Hettinger#82556.91#0.38#9
Minh Breitenberg#25234.42#0.9#3
Rodney Rolfson#77801.15#0.61#3
Deana Koelpin#49344.01#0.48#9
Olinda Botsford#5000.0#0.97#10
Newton Schaefer#91327.26#0.28#4
Norris Kunde#5000.0#0.86#9
Mario Hudson#37705.88#0.8#2
Syble Blick#23127.27#0.15#3
Florencio Wolff#32879.69#0.47#5
Leonardo Bartell#99259.1#0.44#4
Moshe Koelpin#70929.66#0.37#3
Garth Lynch#35207.97#0.19#3
Roy Reichel#24829.74#0.99#9
Ambrose Crist#78890.98#0.42#6
Abe Pagac#63424.62#0.34#4
Mario Hermann#37488.75#0.76#2
Micah Wintheiser#63055.36#0.4#8
Howard Hoppe#57936.38#0.14#2
Nereida Bosco#78473.27#0.46#9
Arthur Witting#90876.4#0.86#10
Raphael Bartell#65885.61#0.48#4
Irwin Barrows#9181.27#0.23#3
Jule Graham#12396.7#0.18#8
Theron Rolfson#59593.33#0.35#2
Maryanna Volkman#89702.8#0.7#4
Milda Johns#99526.84#0.43#3
Roger Hackett#80248.39#0.99#9
Maryam McKenzie#92166.38#0.94#10
Johnny Wolff#68299.88#0.92#3
Trevor Klein#57244.44#0.72#1
Enrique Bogisich#97035.8#0.49#9
Dustin Durgan#99616.71#0.69#1
Rich Ullrich#51204.82#0.38#1
Heather Rosenbaum#28047.17#0.25#8
Nicholas Tremblay#38446.64#0.75#8
Lean Kerluke#46781.37#0.15#10
Kip Carroll#7665.11#0.61#4
Robin Larson#78493.87#0.1#9
Erich Cartwright#54843.85#0.27#9
Mervin Cartwright#18495.47#0.5#10
Kandice MacGyver#50420.28#0.58#9
Reuben Davis#57512.24#0.33#1
Pamella Mueller#44567.93#0.92#8
Rico Turcotte#59842.6#0.3#2
Jaime Metz#13360.47#0.95#2
Rina Frami#23758.22#0.96#9
Tyson Kessler#49084.15#0.1#3
Edythe Ruecker#4876.6#0.1#5
Melany Pagac#37819.39#0.32#10
Francisco Shields#24934.82#0.1#7
Debora Lang#59036.96#0.55#3
Barbra Feeney#94976.07#0.16#4
Danial Heidenreich#8286.65#0.56#3
Kyle Pouros#82204.44#0.26#5
Elfrieda Windler#51687.66#0.77#8
Dan Robel#72976.38#0.2#1
Norberto Collins#56018.55#0.52#6
Dwayne Okuneva#90885.78#0.1#10
Vernetta Welch#65439.56#0.61#7
Alfonso Bauch#6902.36#0.97#4
Trudy Frami#71207.94#0.9#6
Tessa Mayert#20483.65#0.35#3
Gale Feeney#44186.43#0.8#8
Melina Lubowitz#14786.53#0.37#8
Migdalia Lemke#35439.44#0.54#9
Bryce Dicki#50823.16#0.96#10
Britney Bashirian#5104.77#0.35#1
Zachary Baumbach#4797.35#0.9#7
Bruno Ritchie#87060.95#0.14#3
Percy Gleichner#55029.09#0.44#2
Camille Schuppe#39362.98#0.14#10
Vince Collins#20632.16#0.6#7
Dean Kilback#45367.95#0.1#1
Zachery Kiehn#67996.56#0.54#9
Keli Nader#5000.0#0.47#2
Lawrence Towne#56571.07#0.1#4
Rodger Jacobs#54202.71#0.57#10
Johnie Goodwin#14845.62#0.38#6
Markita Ritchie#71323.44#0.78#3
Leslee Mills#28277.58#1.0#10
Rob Osinski#22364.18#0.3#3
Pinkie Fritsch#16955.72#0.1#7
Zetta Ortiz#53210.48#0.7#7
Maryanne Conn#10715.58#0.53#2
Emmanuel Rutherford#74309.27#0.54#2
Rikki Toy#13165.47#0.67#9
Johnnie Schmeler#24847.44#0.51#10
Anastacia Hauck#72592.08#0.34#2
Derick MacGyver#18775.64#0.35#4
Alaina Wilderman#95539.84#0.46#8
Merilyn Herzog#81955.97#0.19#9
Tifany Powlowski#94501.77#0.56#8
Stanford Stark#60499.09#0.15#10
Jesse Mertz#48005.0#0.73#10
Mora Marquardt#76136.7#0.57#6
Adolfo Hartmann#85229.69#0.47#2
Lavelle Blanda#38031.43#0.66#8
Vanita Bruen#22696.97#0.65#1
Bill Jenkins#33979.75#0.16#5
Ray Kilback#45059.11#0.47#10
Rosendo Grimes#62243.91#0.32#8
Clay Ullrich#93942.38#0.27#10
Inell Price#96479.22#0.99#8
Vi Hand#36842.75#0.17#2
Ron Hammes#50446.1#0.56#4
Houston Terry#89580.31#0.64#6
Dorian O'Kon#9039.66#0.23#6
Bruno Ondricka#43250.67#0.5#1
Donovan Ratke#21742.87#0.34#7
Domitila Johnston#30346.36#0.97#9
Mary Keeling#27865.1#0.41#10
Brant Hoppe#23041.1#0.1#7
Tad Daniel#13437.6#0.21#9
Ian Olson#72090.92#0.28#7
Malik Connelly#59362.66#0.83#7
Sonja Koelpin#49260.49#0.12#5
Cecelia Swift#45674.23#0.24#6
Weldon McCullough#74821.31#0.23#1
Antonia Huel#75235.11#0.22#5
Marlene Lindgren#69624.73#0.63#2
Lyndon Grant#53364.55#0.74#9
Latisha Tremblay#44384.24#0.6#4
Kristen Lindgren#21106.75#0.36#3
Horacio Blick#83438.51#0.51#2
Melvin Ernser#98602.06#0.25#5
Thao Yundt#54794.03#0.43#3
Marvin Willms#73811.94#0.65#3
Hannah Kilback#72559.23#0.11#6
Maribel Ledner#5000.0#0.85#1
Loreen Bogan#54830.05#0.63#7
Ethan Beier#78927.27#0.56#9
Sharee Rice#56202.55#0.36#7
Zachary Bauch#99803.63#0.5#4
Kendall McDermott#54952.83#0.6#3
Dustin Beahan#81859.34#0.4#9
Temika Mann#93729.87#0.71#8
Glenn Crona#25119.28#0.1#5
Florencio Kunde#38513.54#0.95#1
Edison Gottlieb#32986.57#0.99#6
Lindsey Wintheiser#26675.88#0.5#2
Emanuel Orn#33896.61#0.32#7
Thersa Daniel#23659.64#0.73#4
Paris Ankunding#19233.22#0.81#5
Anh O'Keefe#4701.42#0.99#7
Tracy Murazik#6172.51#0.39#5
Conrad Prohaska#43587.75#0.42#9
Sergio Fadel#34328.25#0.49#10
Eunice Morissette#61242.36#0.35#7
Loria Muller#67383.3#0.44#3
Shameka Adams#7491.05#0.75#8
Kerry Hoeger#20233.87#0.1#9
Chris Lind#7527.34#0.36#1
Henry Hammes#28178.17#0.3#7
